Autor.id,TEMAS
ABEL MESQUITA JR._RR,"construção, meiofios, calçados"
ADEMIR CAMILO_MG,"saúde, itapiranga, calçados"
AELTON FREITAS_MG,"mananciais, máquinas, escavadeiras"
AFONSO FLORENCE_BA,''
AFONSO HAMM_RS,educação
AFONSO MOTTA_RS,"construção, meiofios, calçados"
AGUINALDO RIBEIRO_PB,"polícia, religião"
ALAN RICK_AC,"infraestrutura, elétrica, calçados"
ALBERTO FILHO_MA,''
ALBERTO FRAGA_DF,"saúde, itapiranga, calçados"
ALCEU MOREIRA_RS,"saúde, itapiranga, calçados"
ALESSANDRO MOLON_RJ,"construção, meiofios, calçados"
ALEX CANZIANI_PR,"autismo, esporte, educação"
ALEXANDRE LEITE_SP,"educação, esporte"
ALEXANDRE SERFIOTIS_RJ,"mananciais, máquinas, escavadeiras"
ALFREDO KAEFER_PR,"saúde, atendimentos, mucuriba"
ALFREDO NASCIMENTO_AM,"educação, esporte"
ALICE PORTUGAL_BA,educação
ALIEL MACHADO_PR,educação
ANDERSON FERREIRA_PE,"saúde, atendimentos, mucuriba"
ANDRE MOURA_SE,agroturismo
ANDRES SANCHEZ_SP,"saúde, atendimentos, mucuriba"
ANDR� ABDON_AP,"saúde, atendimentos, mucuriba"
ANGELIM_AC,"autismo, esporte, educação"
ANTONIO BRITO_BA,"polícia, religião"
ANTONIO BULH�ES_SP,"construção, meiofios, calçados"
ANTONIO IMBASSAHY_BA,''
ANT�NIO J�COME_RN,"construção, meiofios, calçados"
AN�BAL GOMES_CE,"infraestrutura, elétrica, calçados"
ARIOSTO HOLANDA_CE,esporte
ARLINDO CHINAGLIA_SP,"infraestrutura, elétrica, calçados"
ARNALDO FARIA DE S�_SP,"construção, meiofios, calçados"
ARNALDO JARDIM_SP,"construção, meiofios, calçados"
ARNALDO JORDY_PA,"construção, meiofios, calçados"
ARNON BEZERRA_CE,"polícia, religião"
ARTHUR LIRA_AL,"saúde, itapiranga, calçados"
ARTHUR OLIVEIRA MAIA_BA,"energia, construção, infraestrutura, autismo"
