deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Abel Mesquita Jr.,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Adail Carneiro,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Adalberto Cavalcanti,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Adelmo Carneiro Leão,3      ,3      ,3      ,3      ,5,5,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,5,3      ,3      ,3      ,5,3      ,5,3      ,0            ,3      ,3      ,3      ,0            ,0            ,3      ,0            
Adelson Barreto,5,5,5,5,0            ,0            ,5,1            ,5,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Ademir Camilo,5,5,5,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,1            ,0            ,5,1            ,0            ,0            ,0            ,5,0            ,1            ,5,5,5,1            ,1            ,1            ,1            
Adilton Sachetti,5,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Aelton Freitas,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Afonso Florence,5,3      ,5,3      ,5,5,5,5,5,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,5,5,5,5,5,5,0            ,5,5,3      ,0            ,3      ,3      ,0            
Afonso Hamm,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,5,5,0            ,0            ,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Afonso Motta,3      ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Aguinaldo Ribeiro,5,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,5,5,5,5,5,5,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Alan Rick,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Alberto Filho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,5,5,1            ,1            ,1            ,1            ,1            
Alberto Fraga,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Alceu Moreira,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Alessandro Molon,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,1            ,3      ,3      ,5,3      ,0            ,3      ,5,5,3      ,3      ,3      ,0            
Alex Canziani,5,5,5,5,5,5,5,5,5,1            ,5,5,5,0            ,5,5,1            ,5,5,5,5,5,0            ,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Alexandre Baldy,1            ,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,5,1            
Alexandre Leite,5,5,5,5,5,5,0            ,1            ,5,1            ,0            ,5,5,5,5,5,5,5,5,5,0            ,0            ,5,1            ,0            ,1            ,0            ,5,5,5,5,5,5
Alexandre Serfiotis,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,0            ,0            ,5,1            ,0            ,5,1            ,0            ,5,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
